state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
AL,01025-GROVE HILL NAT'L GUARD,174,110,288,0.2222,true
AL,01025-GROVE HILL OLD ENG_,135,355,493,-0.4462,true
AL,01025-GROVE HILL TOWN HALL,139,338,484,-0.4112,true
AL,01025-HELWESTERN FIRE,51,290,341,-0.7009,true
AL,01025-JACKSON CITY HALL,484,261,750,0.2973,true
AL,01025-JACKSON DOWNTOWN,324,287,612,0.0605,true
AL,01025-JACKSON SKIPPER FIRE,375,795,1179,-0.3562,true
AL,01025-MORNING STAR,216,42,259,0.6718,true
AL,01025-NETTLESBORO,65,124,191,-0.3089,true
AL,01025-OPINE TALLAHATTA 161_1,2,114,116,-0.9655,true
AL,01025-ROCKVILLE 21_1,101,57,159,0.2767,true
AL,01025-SALITPA FIRE 81_1,45,107,152,-0.4079,true
AL,01025-SPRINGFIELD METHODIST,15,302,319,-0.8997,true
AL,01025-T'VILLE BASHI FIRE,241,439,686,-0.2886,true
AL,01025-T'VILLE CITY HALL/CIVIC,324,616,945,-0.309,true
AL,01025-WALKER SPRNGS,174,177,352,-0.0085,true
AL,01025-WALNUT GROVE CHURCH,115,31,147,0.5714,true
AL,01025-WHATLEY BAPT 121_3,98,92,190,0.0316,true
AL,01025-WINN FIRE 91_1,138,99,240,0.1625,true
AL,01027-BARFIELD VFD,51,603,654,-0.844,true
AL,01027-BIBB GRAVES SCH/COMM_,75,282,359,-0.5766,true
AL,01027-BLUFF SPRINGS FIRE,13,388,403,-0.9305,true
AL,01027-COLETA VALLEY FIRE,17,150,168,-0.7917,true
AL,01027-COURTHOUSE ANNEX,253,1258,1521,-0.6607,true
AL,01027-CRAGFORD FIRE,5,199,205,-0.9463,true
AL,01027-DELTA COMM_ CTR_,22,270,294,-0.8435,true
AL,01027-FARMER'S MARKET,400,849,1260,-0.3563,true
AL,01027-HIGHLAND COPPERMINE,6,218,225,-0.9422,true
AL,01027-HIPINE FIRE DEPT_,2,97,99,-0.9596,true
AL,01027-HOLLINS COMM_ CTR_,13,279,294,-0.9048,true
AL,01027-IDAHO FIRE DEPT_,10,246,261,-0.9042,true
AL,01027-MELLOW VALLEY HIGH,22,375,398,-0.8869,true
AL,01027-SHINBONE VFD,24,233,257,-0.8132,true
AL,01027-TRI-COMM_ FIRE,80,287,369,-0.561,true
AL,01029-ABEL,15,192,208,-0.851,true
AL,01029-BORDEN SPRINGS VFD,5,128,133,-0.9248,true
AL,01029-CHULAFINNEE BAPT CH,115,728,852,-0.7195,true
AL,01029-EDWARDSVILLE COMM_,12,435,447,-0.9463,true
AL,01029-FRUITHURST CITY HALL,21,325,350,-0.8686,true
AL,01029-GREENS CHAPEL UMC @ BEASON MIL,14,182,196,-0.8571,true
AL,01029-HEFLIN RECREATIONAL CTR,236,1580,1835,-0.7324,true
AL,01029-MICAVILLE VFD,14,341,359,-0.9109,true
AL,01029-MUSCADINE VFD,15,206,221,-0.8643,true
AL,01029-OAK LEVEL PINEYWDS,36,381,420,-0.8214,true
AL,01029-OLD HOPEWELL CHURCH,30,587,619,-0.8998,true
AL,01029-PLAINVIEW VFD,7,214,222,-0.9324,true
AL,01029-RANBURNE VFD,43,1285,1340,-0.9269,true
AL,01029-TURKEY HEAVEN VFD,42,404,449,-0.8062,true
AL,01031-BASIN VTG HOUSE,20,342,362,-0.8895,true
AL,01031-BLUFF SPGS VTG HOUSE,3,92,95,-0.9368,true
AL,01031-DAMASCUS SR_ CTR_,26,535,566,-0.8993,true
AL,01031-EANON VTG HOUSE,24,509,536,-0.9049,true
AL,01031-ELBA CH OF CHRIST,131,738,872,-0.6961,true
AL,01031-ELBA MASONIC LODGE,131,303,439,-0.3918,true
AL,01031-ELBA ZION CHRISTIAN COMM_,172,70,244,0.418,true
AL,01031-ENTERPRISE CIVIC CTR_,674,2576,3298,-0.5767,true
AL,01031-EPRISE STATE COMM_ COLL_,515,792,1326,-0.2089,true
AL,01031-FRISCO VTG HOUSE,90,517,610,-0.7,true
AL,01031-GOODMAN VTG HOUSE,43,497,550,-0.8255,true
AL,01031-HERITAGE UMC,536,1115,1675,-0.3457,true
AL,01031-HOLLEY'S STORE,6,113,119,-0.8992,true
AL,01031-INO SR_ CTR_,6,191,198,-0.9343,true
AL,01031-JOHNS CHAPEL AME,698,647,1362,0.0374,true
AL,01031-KINSTON CITY HALL,17,410,429,-0.9161,true
AL,01031-LEE COMM_ VTG HOUSE,17,113,130,-0.7385,true
AL,01031-MT PLEASANT SR_ CTR_,117,1313,1438,-0.8317,true
AL,01031-NEW BROCKTON COMM_,151,713,871,-0.6452,true
AL,01031-NEW BROCKTON SR_ CTR_,129,246,377,-0.3103,true
AL,01031-NEWBIA VTG HOUSE,11,113,125,-0.816,true
AL,01031-PINE LEVEL SR_ CTR_,13,228,242,-0.8884,true
AL,01031-PLEASANT RIDGE VTG,156,822,991,-0.672,true
AL,01031-TRI-COMM VFD (COOL SPGS),136,748,892,-0.6861,true
AL,01031-WISE MILL,40,540,583,-0.8576,true
AL,01031-YMCA,707,2766,3509,-0.5868,true
AL,01031-ZION CHAPEL SR_ CTR_,32,446,480,-0.8625,true
AL,01033-ALLSBORO CUMBERLAND,15,124,141,-0.773,true
AL,01033-BARTON FIRST BAPT_,138,327,470,-0.4021,true
AL,01033-CAVE SPRINGS BAPT_,157,56,213,0.4742,true
AL,01033-CHEROKEE LIONS DEN,179,664,853,-0.5686,true
AL,01033-COARMM,110,260,371,-0.4043,true
AL,01033-COLBERT HEIGHTS BAPT_,133,1043,1190,-0.7647,true
AL,01033-COUNTY HWY_ DEPT_,170,1047,1228,-0.7142,true
AL,01033-EAST COLBERT SR_ CTR_,267,1026,1307,-0.5807,true
AL,01033-FIRST SOUTHERN BAPT_,170,1054,1237,-0.7146,true
AL,01033-GATMAN PARK & REC_,310,1005,1327,-0.5237,true
AL,01033-GRACE LIFE,516,1141,1685,-0.3709,true
AL,01033-HATTON BAPT_,308,550,863,-0.2804,true
AL,01033-HELEN KELLER PUBLIC LIBRARY,181,385,577,-0.3536,true
AL,01033-HOPE HAVEN SCHOOL,154,849,1014,-0.6854,true
AL,01033-LA GRANGE FIRE,46,451,498,-0.8133,true
AL,01033-LEIGHTON CITY HALL,153,130,284,0.081,true
AL,01033-LEIGHTON CIVIC CTR,175,399,578,-0.3875,true
AL,01033-LITTLEVILLE CITY HALL,91,758,862,-0.7738,true
AL,01033-MARGERUM COMMUNITY,51,241,293,-0.6485,true
AL,01033-MUSCLE SHOALS CITY HALL,433,1147,1604,-0.4451,true
AL,01033-NEW BETHEL FIRE,85,613,703,-0.7511,true
AL,01033-PARK VIEW BAPT_,518,534,1064,-0.015,true
AL,01033-PLUMBER STEAMFITTER,284,644,940,-0.383,true
AL,01033-PRIDE MISSIONARY,106,546,662,-0.6647,true
AL,01033-SHEFFIELD BD OF ED,169,326,505,-0.3109,true
AL,01033-SHEFFIELD FIRE 2ND ST,335,341,681,-0.0088,true
AL,01033-SHEFFIELD MICHAEL,433,121,558,0.5591,true
AL,01033-SHEFFIELD RECREATION,301,625,940,-0.3447,true
AL,01033-SPRING VALLEY CH GOD,49,421,474,-0.7848,true
AL,01033-SRYGLEY CH OF CHRIST,18,144,163,-0.773,true
AL,01033-TREE HOUSE SCH,222,599,835,-0.4515,true
