state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary
OR,41017-17,2507,3187,5942,-0.1144,true
OR,41017-29,1806,2754,4717,-0.201,true
OR,41017-14,716,804,1562,-0.0563,true
OR,41017-15,1190,1079,2352,0.0472,true
OR,41017-34,1813,1255,3188,0.175,true
OR,41017-35,3178,1103,4401,0.4715,true
OR,41017-32,1587,726,2397,0.3592,true
OR,41017-33,2003,1439,3548,0.159,true
OR,41019-10,63,62,129,0.0078,true
OR,41019-27,81,275,372,-0.5215,true
OR,41019-28,118,329,458,-0.4607,true
OR,41019-15,168,339,518,-0.3301,true
OR,41019-14,137,380,541,-0.4492,true
OR,41019-11,150,333,500,-0.366,true
OR,41019-24,398,967,1413,-0.4027,true
OR,41019-09,1120,1621,2825,-0.1773,true
OR,41019-25,242,557,819,-0.3846,true
OR,41019-07,1136,1771,2989,-0.2124,true
OR,41019-03,919,1306,2297,-0.1685,true
OR,41019-23,391,1045,1478,-0.4425,true
OR,41019-22,1154,1575,2855,-0.1475,true
OR,41019-08,927,2593,3619,-0.4603,true
OR,41019-26,483,1208,1758,-0.4124,true
OR,41019-18,1090,1681,2876,-0.2055,true
OR,41019-17,1379,3197,4701,-0.3867,true
OR,41019-29,139,427,579,-0.4974,true
OR,41019-13,1093,2672,3870,-0.408,true
OR,41019-06,1002,2256,3346,-0.3748,true
OR,41019-19,546,1716,2335,-0.5011,true
OR,41019-20,951,2688,3728,-0.4659,true
OR,41019-01,309,607,950,-0.3137,true
OR,41019-12,1021,2677,3789,-0.4371,true
OR,41019-21,260,746,1037,-0.4687,true
OR,41019-05,1001,2915,4015,-0.4767,true
OR,41019-16,684,2215,2986,-0.5127,true
OR,41019-04,1171,2897,4226,-0.4084,true
OR,41019-02,253,506,798,-0.317,true
OR,41021-#1,93,373,480,-0.5833,true
OR,41021-#6,87,190,287,-0.3589,true
OR,41021-#7,111,242,367,-0.3569,true
OR,41023-Long Creek,46,210,264,-0.6212,true
OR,41023-North Fork,51,196,251,-0.5777,true
OR,41023-John Day,574,2296,2969,-0.58,true
OR,41023-South Fork,51,163,222,-0.5045,true
OR,41023-Union,94,625,750,-0.708,true
OR,41025-26,271,1691,2015,-0.7047,true
OR,41025-21,334,977,1373,-0.4683,true
OR,41025-25,192,639,867,-0.5156,true
OR,41027-10,422,342,799,0.1001,true
OR,41027-11,535,350,914,0.2024,true
OR,41027-12,348,335,725,0.0179,true
OR,41027-13,496,307,823,0.2296,true
OR,41027-6,605,273,915,0.3628,true
OR,41027-7,349,221,594,0.2155,true
